Station_Id_C Year_Data Mon_Data Day_Data Hour_Data EVSS V03099 Time_Dev_WQ Lat_Dev Lon_Dev PRS_HWC GPH WIN_D WIN_S TEM DPT DTD
59280 2020 5 30 12 8192.0000 20200530111536 1792.0000 0.0486 0.1594 254.0000 999999.0000 999999.0000 999999.0000 2.9000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1742.0000 0.0442 0.1524 266.0000 999999.0000 999999.0000 999999.0000 50.1000 46.0000 4.1000 
59280 2020 5 30 12 8192.0000 20200530111536 1760.0000 0.0456 0.1547 261.0000 999999.0000 999999.0000 999999.0000 50.1000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1830.0000 0.0513 0.1640 245.0000 999999.0000 999999.0000 999999.0000 39.0000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1824.0000 0.0509 0.1633 246.0000 999999.0000 999999.0000 999999.0000 50.1000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1841.0000 0.0522 0.1656 242.0000 999999.0000 999999.0000 999999.0000 45.7000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1833.0000 0.0517 0.1648 244.0000 999999.0000 999999.0000 999999.0000 -39.6000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1807.0000 0.0496 0.1610 250.0000 999999.0000 999999.0000 999999.0000 -20.0000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1754.0000 0.0451 0.1540 263.0000 999999.0000 999999.0000 999999.0000 -35.4000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1818.0000 0.0504 0.1625 248.0000 999999.0000 999999.0000 999999.0000 50.1000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1812.0000 0.0500 0.1617 249.0000 999999.0000 999999.0000 999999.0000 50.1000 999999.0000 999998.0000 
59280 2020 5 30 12 8192.0000 20200530111536 1126.0000 0.0156 0.0773 450.0000 999999.0000 999999.0000 999999.0000 -8.8000 -16.1000 7.3000 
59280 2020 5 30 12 8192.0000 20200530111536 1286.0000 0.0190 0.0953 396.0000 999999.0000 999999.0000 999999.0000 -14.4000 -18.9000 4.5000 
59280 2020 5 30 12 8192.0000 20200530111536 1236.0000 0.0175 0.0895 411.0000 999999.0000 999999.0000 999999.0000 -13.1000 -14.3000 1.2000 
59280 2020 5 30 12 8192.0000 20200530111536 0.0000 -0.0102 -0.0013 1000.0000 999999.0000 999999.0000 999999.0000 26.0000 25.8000 0.2000 
59280 2020 5 30 12 65536.0000 20200530111536 3408.0000 0.1181 0.3291 1.0000 56550.0000 247.0000 2.0000 1.2000 999999.0000 999998.0000 
